NRep,Profile,TimeVariability(factor1),TaskDistribution(factor2),Policy(factor3),TotalDelayT,TotalDelayS,maxDelayResource,TotalCapacity
4,PF,0,0,1,35,379,0.52,149
4,PF,0,1,0,1623,1689,36.18,101
4,PF,0,1,1,42,376,0.41,161
4,PF,1,1,0,1642,1710,34.32,112
4,PF,1,1,1,115,560,0.65,166
4,PF,1,0,0,1529,1589,24.79,109
4,PF,1,0,1,119,560,0.57,158
5,PF,0,0,0,1457,1521,27.49,98
5,PF,0,0,1,36,378,0.35,149
5,PF,0,1,0,1633,1710,33.25,101
5,PF,0,1,1,43,385,0.38,161
5,PF,1,1,0,1658,1722,33.38,112
5,PF,1,1,1,106,544,0.58,166
5,PF,1,0,0,1522,1580,24.98,109
5,PF,1,0,1,113,541,0.75,155
1,PP,0,0,0,1868,1914,47.67,88
1,PP,0,0,1,51,455,1.08,142
1,PP,0,1,0,2003,2080,52.39,100
1,PP,0,1,1,51,459,1.84,151
1,PP,1,1,0,1957,2023,52.24,106
1,PP,1,1,1,117,628,1.55,159
1,PP,1,0,0,2071,2123,54.6,97
1,PP,1,0,1,127,625,1.46,153
2,PP,0,0,0,1845,1902,46.03,88
2,PP,0,0,1,50,459,1.26,142
2,PP,0,1,0,2046,2103,52.74,100
2,PP,0,1,1,44,456,1.25,151
2,PP,1,1,0,2035,2088,52.69,106
2,PP,1,1,1,116,618,1.89,160
2,PP,1,0,0,2103,2165,55.31,97
2,PP,1,0,1,115,624,1.92,146
3,PP,0,0,0,1845,1881,43.18,88
3,PP,0,0,1,47,456,1.34,142
3,PP,0,1,0,2027,2108,57.72,100
3,PP,0,1,1,44,441,0.9,150
3,PP,1,1,0,2042,2094,48.91,106
3,PP,1,1,1,129,641,1.42,160
3,PP,1,0,0,2077,2146,59.82,97
3,PP,1,0,1,116,621,1.85,146
4,PP,0,0,0,1879,1925,45.59,88
4,PP,0,0,1,44,454,1.25,142
4,PP,0,1,0,2000,2070,56.81,100
4,PP,0,1,1,43,445,1.02,151
4,PP,1,1,0,1995,2030,48.79,106
4,PP,1,1,1,119,628,1.51,159
4,PP,1,0,0,2130,2197,54.84,97
4,PP,1,0,1,122,626,1.9,152
5,PP,0,0,0,1830,1888,45.7,88
5,PP,0,0,1,50,455,1.18,142
5,PP,0,1,0,2023,2086,58.75,100
5,PP,0,1,1,49,451,1.12,150
5,PP,1,1,0,1973,2028,50.86,106
5,PP,1,1,1,120,622,1.58,160
5,PP,1,0,0,2118,2183,56.7,97
5,PP,1,0,1,110,608,1.86,146
